,STATIC,BINARY,DOME,LSTM,tLSTM,GRU,GRU-D,BEHRT,RETAIN,Dipole
0,0.5,0.8333333333333334,0.8333333333333334,0.625,0.7916666666666666,0.7083333333333334,0.7083333333333334,0.75,0.5,0.625
1,0.8333333333333334,0.5416666666666666,0.875,0.6666666666666666,0.7083333333333334,0.5833333333333334,0.7083333333333334,0.6666666666666666,0.3333333333333333,0.7916666666666666
2,0.28,0.52,0.68,0.64,0.32,0.64,0.64,0.6,0.28,0.56
3,0.76,0.76,0.8,0.56,0.68,0.68,0.64,0.56,0.6,0.44
4,0.76,0.8,0.84,0.84,0.92,0.72,0.84,0.64,0.56,0.8
