,AUC mean,AUC std,F1 mean,F1 std,Prec mean,Prec std,Recall mean,Recall std,MCC mean,MCC std,Acc mean,Acc std,Brier,CM
STATIC,0.8517092368058913,0.028768290560855645,0.6414865358792824,0.04835888934166121,0.7029813555990221,0.12534945422110902,0.6260869565217392,0.12556112241907524,0.5652398665578927,0.042789355908729294,0.8528498091351849,0.013545379612144975,0.12447826234520337,"[[766  71]
 [ 86 144]]"
STATIC+BINARY,0.8489767359690557,0.04929114075592992,0.6834992753440334,0.060926214312183494,0.7401963889768768,0.09558945735365167,0.6434782608695653,0.06679257172059658,0.6088953328088426,0.0787578357524679,0.8707033478127331,0.031119452502562196,0.11647946512745162,"[[781  56]
 [ 82 148]]"
STATIC+DOME,0.8581448903435366,0.036315606343066326,0.7140603843504287,0.04801131249958943,0.7488316722037652,0.05829985910293815,0.682608695652174,0.04032008041519868,0.6410467517464962,0.06186226135503109,0.8819314641744548,0.02074595893638516,0.11068219450984618,"[[784  53]
 [ 73 157]]"
STATIC+LSTM,0.8045773360112074,0.039116860595357156,0.6383810651794597,0.06136088672478093,0.7682124819624819,0.0593101360765645,0.5478260869565217,0.06650895017729719,0.5725279195281885,0.07099852323067013,0.8669474792681321,0.02089649296321045,0.12526526494885698,"[[799  38]
 [104 126]]"
STATIC+tLSTM,0.7872898612712463,0.0640880200716543,0.5924042126730299,0.08911423887564048,0.6524890239783857,0.10511812608076282,0.5478260869565217,0.09663526422127333,0.4975028463800567,0.11284660827243867,0.8378877627133517,0.03717652781490544,0.13523927718101456,"[[768  69]
 [104 126]]"
STATIC+GRU,0.7557665724451719,0.05302144141290448,0.5576010466882677,0.08723058364494589,0.5896104420101274,0.11721127593679918,0.5391304347826087,0.0995262881935617,0.4462846725850772,0.11528434951969796,0.8153920407178272,0.041075863148131206,0.16111219356386158,"[[746  91]
 [106 124]]"
STATIC+GRU-D,0.822264012347975,0.0518763521066645,0.6737579270192822,0.06936153721235427,0.8340584147035759,0.04765033183304953,0.5695652173913043,0.0863018836577357,0.6241329389078848,0.07114689236835381,0.8828528805230136,0.01940292156397201,0.11096596178837612,"[[811  26]
 [ 99 131]]"
STATIC+BEHRT,0.7805480653599634,0.06906711324599726,0.6075589072140104,0.0953967243223942,0.7444406906906906,0.08130835507444004,0.5173913043478261,0.10047147833296821,0.5398635148214226,0.10248951050975841,0.8584836119520863,0.0269318951515415,0.12470733663955187,"[[797  40]
 [111 119]]"
STATIC+RETAIN,0.7734300033473425,0.05373956101767624,0.549146477304372,0.13522180768591038,0.7754901960784313,0.14875621717821877,0.46521739130434786,0.14782608695652175,0.5017792654802747,0.09565891394802103,0.8453512351366766,0.030277405372318756,0.13529337256597676,"[[795  42]
 [123 107]]"
STATIC+Dipole,0.7883680620126208,0.05493074601104374,0.562848979457916,0.0913150540825818,0.7020487804878048,0.024274544005628767,0.4826086956521739,0.12480608777745499,0.4911957891500364,0.07910218480837726,0.8444254310912201,0.016344448338993525,0.13332950989957137,"[[790  47]
 [119 111]]"
