,AUC mean,AUC std,F1 mean,F1 std,Prec mean,Prec std,Recall mean,Recall std,MCC mean,MCC std,Acc mean,Acc std,Brier,CM
STATIC+BINARY,0.8316898036225686,0.027962146367124355,0.6750575028835899,0.035331118238743006,0.7390116983297208,0.06945207364427142,0.6304347826086957,0.06874516652539955,0.6010718956925163,0.042385053126037006,0.869711728313808,0.015384809575663464,0.11501685942038956,"[[783  54]
 [ 85 145]]"
STATIC+DOME,0.8297078978688587,0.030710532885118765,0.6664919418535666,0.046103778909823624,0.7168292682926829,0.08416719430552225,0.6304347826086956,0.06448868249648403,0.5866415519400527,0.06127928743315452,0.8640867008907025,0.02066374382854244,0.11910231444456595,"[[777  60]
 [ 85 145]]"
STATIC+LSTM,0.7948711273105962,0.04745713117209569,0.5925451559934318,0.09873962742999243,0.8266462177806362,0.0837217312998573,0.4826086956521739,0.13072431633367745,0.5551354739043539,0.07520973153896013,0.8631565091483481,0.019389245003261703,0.12936962706253413,"[[810  27]
 [119 111]]"
STATIC+tLSTM,0.7714939685845701,0.024812688776366082,0.5531295093795093,0.05626856008034657,0.7303852288062814,0.12237045098226643,0.48695652173913045,0.14973195963237013,0.49440159185973664,0.024098257718264907,0.8369531832740995,0.021605796536399685,0.1448630168086593,"[[781  56]
 [118 112]]"
STATIC+GRU,0.7657194152068534,0.039407811809547194,0.5751091806693683,0.04224363067095688,0.6048056705199562,0.07184668924646559,0.5652173913043478,0.0891039197039965,0.4699943680027755,0.043978802177858725,0.8219297090956956,0.018252183079072743,0.15310870756901696,"[[747  90]
 [100 130]]"
STATIC+GRU-D,0.8095231896455537,0.03234593316432909,0.667210200216057,0.032108589742034115,0.8795017482517483,0.07726892018277175,0.5434782608695652,0.053249777017025636,0.6298418425806768,0.03095098037082772,0.8837699091746742,0.009287957383472658,0.11805926046285771,"[[818  19]
 [105 125]]"
STATIC+BEHRT,0.7695973735758297,0.07365140389921399,0.5843259744850413,0.07100794386072641,0.8613388543823326,0.10082882716692908,0.4608695652173913,0.10596571832133861,0.556852382826148,0.03452688834893379,0.8631608968452458,0.009188507796929509,0.1301211950805871,"[[815  22]
 [124 106]]"
STATIC+RETAIN,0.7411092411450392,0.04211508602291801,0.4977171176706518,0.1189901162499016,0.7520889129845487,0.163751086032115,0.41739130434782606,0.14511581972416204,0.4517619757248389,0.0641652738362195,0.8303804133210478,0.022307931312654537,0.1437927361041058,"[[790  47]
 [134  96]]"
STATIC+Dipole,0.7768250765549646,0.020328547054399557,0.6093467665756822,0.03184521064034483,0.6995790034265534,0.08367552132542079,0.5434782608695652,0.023814024239355074,0.5255388422762118,0.051430771595794476,0.8491158790750735,0.01760846015489566,0.1314644459006321,"[[781  56]
 [105 125]]"
STATIC,0.8277877474863937,0.05607266256481268,0.5917079899811573,0.11134603329658282,0.7758768677676665,0.139688536465881,0.5304347826086957,0.17205529510790762,0.5434568802739171,0.06100751972478379,0.853793163968233,0.015233667854163397,0.12551343485456695,"[[789  48]
 [108 122]]"
STATIC+BINARY,0.8361977907538961,0.03872819781426025,0.6548464386638188,0.03248269802181921,0.7907466068491619,0.09044463422133985,0.5652173913043479,0.04957284456952774,0.5938135996671325,0.04745806967944833,0.8716028256768024,0.014110110108298081,0.12193154264669254,"[[800  37]
 [100 130]]"
STATIC+DOME,0.8483912609563482,0.03992058554868581,0.6859577310748846,0.021835563152354184,0.7290129787069811,0.04113360304084191,0.6521739130434783,0.051444172026953144,0.6090260447445788,0.025233348209652142,0.8716028256768024,0.008688987086567259,0.11259696476768331,"[[780  57]
 [ 80 150]]"
STATIC+LSTM,0.7957434509862262,0.05267855038104045,0.613404852761178,0.04853408411706671,0.7705704099821747,0.05571653052031651,0.5173913043478262,0.0782608695652174,0.5523569716641832,0.042299150405448016,0.8612961256636392,0.010894586898322843,0.12669924588234174,"[[800  37]
 [111 119]]"
STATIC+tLSTM,0.7801080292830489,0.015552243645390556,0.5657758726386177,0.04865953863161359,0.658703810094244,0.0693404690744905,0.5,0.058332208108690185,0.4749425016599364,0.05967975532347944,0.8350313720328201,0.018529699595712823,0.14417934938734178,"[[776  61]
 [115 115]]"
STATIC+GRU,0.7510684376588438,0.04477362221021888,0.5707727602825642,0.04689062959574371,0.6245658263305323,0.0831429739740908,0.5347826086956522,0.06819298757112227,0.4693967010995335,0.06217535574033504,0.8266420955640384,0.02427954984207192,0.16004580485448333,"[[759  78]
 [107 123]]"
STATIC+GRU-D,0.8228783891843643,0.02217362756387124,0.6749599900567664,0.03863909707876482,0.8753706213668263,0.068056299851739,0.5565217391304348,0.06679257172059662,0.6361920034572606,0.029111372626241756,0.8856434557500767,0.00840038980821946,0.11649462605644051,"[[817  20]
 [102 128]]"
STATIC+BEHRT,0.785698323849196,0.024400276149454638,0.6183943833943834,0.04918479366195242,0.7891650506356389,0.08576542538316013,0.5130434782608696,0.05768043113661566,0.5608883093938418,0.05904818457447188,0.8640867008907025,0.01583219670347707,0.124633458526262,"[[804  33]
 [112 118]]"
STATIC+RETAIN,0.7569604579660555,0.03772100959418322,0.5479241847884009,0.05661527890393309,0.6721940489521676,0.11877163998328824,0.4826086956521739,0.09857203520656206,0.4659173037182523,0.06205000443510833,0.8312842788820148,0.01914359045315271,0.13771079025825259,"[[776  61]
 [119 111]]"
STATIC+Dipole,0.7798311761570027,0.045519402385689814,0.5819609532012633,0.05911809175328697,0.7056879834161782,0.07193186636257375,0.5,0.0727530457855718,0.5043897626802274,0.06806284317167727,0.846294589969725,0.019571707488199027,0.13909395061018448,"[[788  49]
 [115 115]]"
STATIC,0.8301793152824786,0.03851881904229555,0.6510121756053728,0.025368175562362493,0.7061220037217668,0.09101314718982015,0.6217391304347826,0.08087424016407946,0.570834604303462,0.03392989941483695,0.8566144530735815,0.018816685082708697,0.12737681725033312,"[[771  66]
 [ 87 143]]"
STATIC+BINARY,0.8378805277643471,0.045930510452120904,0.6575776918907802,0.08370958550139314,0.7780448508029656,0.12863234402036366,0.6,0.13230542656263425,0.5989576056332072,0.07567085079286123,0.8697468298889914,0.023899553413175123,0.1169741850175053,"[[790  47]
 [ 92 138]]"
STATIC+DOME,0.8612701615402736,0.030743742589496734,0.6885855291031484,0.05859538412633954,0.7167537550751399,0.060298895235614776,0.6652173913043479,0.06956521739130438,0.6089548642984731,0.07228964420963997,0.8706945724189372,0.023863485029544298,0.11015548010982221,"[[776  61]
 [ 77 153]]"
STATIC+LSTM,0.7681408921287859,0.05435355475926452,0.6024451858652357,0.09478011282601005,0.8312173343897482,0.08343630768124762,0.4739130434782609,0.08952721861727828,0.5610099871846441,0.10394685274361377,0.8669255407836427,0.02756694809903898,0.1276745085587436,"[[816  21]
 [121 109]]"
STATIC+tLSTM,0.7750246401606724,0.05079331266236526,0.5622288641409179,0.03242583572454,0.7528461538461538,0.1336819505592488,0.46521739130434775,0.0748028284090663,0.5025933844399953,0.043782163142861937,0.8453512351366766,0.013333101269103267,0.13973997129631754,"[[795  42]
 [123 107]]"
STATIC+GRU,0.7688239204820173,0.056545648139708186,0.5987854152897114,0.08700391619048538,0.6278521500033127,0.12236113021533866,0.5826086956521739,0.09663526422127335,0.4971121311317982,0.11439216431584924,0.8313676451230748,0.03887950476653371,0.1394294587588343,"[[753  84]
 [ 96 134]]"
STATIC+GRU-D,0.8243469582573983,0.037944880387466504,0.660967815029321,0.044926009930210675,0.847314578005115,0.09709697702431128,0.5478260869565217,0.053955102808655925,0.6150549083352825,0.056881944522820686,0.8791277258566979,0.016136691764502848,0.11684554916300911,"[[812  25]
 [104 126]]"
STATIC+BEHRT,0.8005922161887404,0.017945091614247996,0.6407381420016052,0.03869267617094157,0.8438066241159221,0.07895190953284731,0.5217391304347825,0.05324977701702563,0.5963796283107168,0.04373927343225104,0.8744372778728445,0.012828050023341071,0.12065395679071242,"[[813  24]
 [110 120]]"
STATIC+RETAIN,0.7716075612749657,0.02767918799840842,0.5155800860604052,0.10528928643853706,0.8223880966528025,0.11175048769297023,0.4,0.12189431103370596,0.4892087619869557,0.05324544099488591,0.8463165284542142,0.012477713584000035,0.13582901273124515,"[[811  26]
 [138  92]]"
STATIC+Dipole,0.7830485767595246,0.0522369471865841,0.5965052792983224,0.07796117458921879,0.7496855775803144,0.10757872760287823,0.5086956521739131,0.09385666584749089,0.5314097778197439,0.0814328273949435,0.853837040937212,0.025482682898652752,0.13010534496066184,"[[794  43]
 [113 117]]"
STATIC,0.8235519643941929,0.03399004303341057,0.6485506353478128,0.038090530198870196,0.6269714774357277,0.061076054807225354,0.6826086956521739,0.07091089752304386,0.5509505354907269,0.04644302557979376,0.8406915010311087,0.021858965182740272,0.12826889071531675,"[[740  97]
 [ 73 157]]"
STATIC+BINARY,0.8412060971225251,0.03761209069441688,0.6757558867799099,0.04511803391468255,0.7916816516816517,0.04708029509449313,0.5913043478260869,0.05395510280865591,0.6133012789238721,0.05163994853473165,0.8781887587205477,0.01489399559540276,0.11652666299711795,"[[801  36]
 [ 94 136]]"
STATIC+DOME,0.8399504562303963,0.04523982725456109,0.6740259346984062,0.049855278029351406,0.7109874885134657,0.03147576225564762,0.6434782608695653,0.07091089752304386,0.5930502967622192,0.05546141492611792,0.8669430915712342,0.015336930746701182,0.11512819472642363,"[[777  60]
 [ 82 148]]"
STATIC+LSTM,0.8001638028291242,0.05037495634700785,0.6241371925950011,0.09405306704832896,0.6857570471856186,0.03932588582684253,0.5826086956521739,0.13216247090061448,0.5414626277077353,0.09631590655488155,0.8538458163310079,0.022686315150225435,0.12778697742297504,"[[777  60]
 [ 96 134]]"
STATIC+tLSTM,0.7899234140414823,0.04828877289982031,0.5841356542617048,0.08969127599085153,0.6520361990950226,0.12190686845491058,0.5347826086956522,0.07728864710709207,0.4881101890339381,0.11748150610240449,0.8342064850160151,0.04312318692929831,0.14493802380656876,"[[767  70]
 [107 123]]"
STATIC+GRU,0.7612232832471704,0.06494008891627319,0.5469308992893899,0.06959403868967147,0.5229173706134977,0.054156183765860955,0.5869565217391305,0.12824244525002285,0.4215151731599838,0.08432530994314044,0.7948005791759906,0.022569263660707904,0.1781622379307162,"[[713 124]
 [ 95 135]]"
STATIC+GRU-D,0.8103890045994966,0.04556058197407318,0.6637881113017335,0.07238810682711706,0.8049641934293097,0.09833729160895877,0.5739130434782609,0.09182048731279512,0.6076234089447418,0.0808698044808642,0.8763283752358386,0.02146163078261112,0.1186332934787416,"[[803  34]
 [ 98 132]]"
STATIC+BEHRT,0.8180295464970679,0.0593075698286927,0.631400170687375,0.0974894271841948,0.7893460618439593,0.09240164568762056,0.5347826086956522,0.10614396187594524,0.5744023424098739,0.10321959990866084,0.8678864464042825,0.0298693477442731,0.11812543512972654,"[[803  34]
 [107 123]]"
STATIC+RETAIN,0.8008670547104548,0.04362486161686851,0.5846271204107697,0.05761649062227082,0.708070763070763,0.08757790720880519,0.5043478260869565,0.07064381221422575,0.5072555441506185,0.0698952490900194,0.8463209161511124,0.021100607279717066,0.12770215820506933,"[[787  50]
 [114 116]]"
STATIC+Dipole,0.7776922862349834,0.06447200388982947,0.577364800068944,0.09883753224021265,0.7500063327520193,0.06552956655874663,0.4826086956521739,0.12328214677180718,0.5180263575651471,0.09110926379163979,0.8528980738010619,0.023011399260474862,0.12885864469375485,"[[799  38]
 [119 111]]"
