,AUC mean,AUC std,F1 mean,F1 std,Prec mean,Prec std,Recall mean,Recall std,MCC mean,MCC std,Acc mean,Acc std,Brier,CM
STATIC+BINARY,0.9010874255952382,0.06213560643569289,0.7933741007966554,0.08108700073070815,0.8484574845444411,0.04897300920555855,0.7566666666666666,0.12292273996295396,0.7292564712808003,0.08942206687171565,0.8931818181818182,0.03416658267812025,0.10375169005054084,"[[300  17]
 [ 30  93]]"
STATIC+DOME,0.8975321180555556,0.056166112342475476,0.7864517016591815,0.05941384328669254,0.7961576030166736,0.06848805587273599,0.78,0.07127411872482182,0.706298883463879,0.08220530065112645,0.8818181818181818,0.032619772941834796,0.11693242179064636,"[[292  25]
 [ 27  96]]"
STATIC+LSTM,0.8428077876984126,0.0403169706688903,0.7068153490196571,0.07525049753974043,0.786008658008658,0.09829895361868526,0.6496666666666667,0.08615489926096292,0.6157195144552244,0.10008618434962083,0.85,0.03962635403218793,0.13324790777757903,"[[294  23]
 [ 43  80]]"
STATIC+tLSTM,0.8027664930555556,0.06431492327921345,0.6535816814764183,0.07821581383864747,0.7361397445225968,0.0838845478349891,0.608,0.14363302003524275,0.5525333870115974,0.09613677842228192,0.825,0.03491429885394823,0.1507158168241148,"[[288  29]
 [ 48  75]]"
STATIC+GRU,0.8008649553571429,0.03249658665939494,0.6594396555825126,0.07412900078456237,0.6754979002690673,0.09899340412590521,0.6506666666666667,0.07311026679688094,0.5324349627166607,0.10515128021419078,0.8113636363636363,0.045226701686664546,0.1602345280080364,"[[277  40]
 [ 43  80]]"
STATIC+GRU-D,0.8520406746031746,0.05153316641321828,0.7473880404112963,0.0680860781633409,0.9239766081871345,0.07334461798883343,0.6346666666666667,0.08573473301086583,0.6976397412183108,0.07261254870843149,0.8818181818181818,0.02746146812180582,0.11201902773527875,"[[310   7]
 [ 45  78]]"
STATIC+BEHRT,0.8507633928571428,0.04574994627287654,0.7488657374371661,0.04944033997532148,0.8681795665634675,0.09790691319577725,0.667,0.06794115100585209,0.6820971357344223,0.06817500272494867,0.875,0.025913077843162203,0.11962820372324917,"[[303  14]
 [ 41  82]]"
STATIC+RETAIN,0.8113795882936508,0.06522081079427872,0.5675858343337336,0.11613781320054783,0.873076923076923,0.16117174492120742,0.4726666666666667,0.18771609769365366,0.5297843326373245,0.06717015138127423,0.815909090909091,0.025308019831045584,0.1529240449467556,"[[301  16]
 [ 65  58]]"
STATIC+Dipole,0.8287073412698411,0.05914507814557558,0.731810044175773,0.029644044182013912,0.8051459943565206,0.07682649239238655,0.6833333333333333,0.07993747556684537,0.6491275778423209,0.030938547450319837,0.8613636363636363,0.011134044285378071,0.12996828582995504,"[[295  22]
 [ 39  84]]"
STATIC,0.8263485863095237,0.05619216285865051,0.612324864523975,0.09241193174787259,0.8016694677871149,0.18102091442691512,0.5636666666666665,0.18813824704190266,0.5438598247757481,0.05537213864564667,0.8136363636363637,0.02928204256073894,0.15141420643883546,"[[289  28]
 [ 54  69]]"
STATIC+BINARY,0.8981254960317461,0.03830900282717567,0.7840201146124491,0.03348940936176453,0.8139760348583878,0.0766911733276733,0.7639999999999999,0.05587287157268526,0.706829063503241,0.05112454418017312,0.8818181818181818,0.02339915941133407,0.10586660435446618,"[[294  23]
 [ 29  94]]"
STATIC+DOME,0.9032465277777778,0.04519703710392956,0.782075171205606,0.0524746094317179,0.7937209778948909,0.05755245377551256,0.7726666666666666,0.06048507621260343,0.6998769957274981,0.07313683082632806,0.8795454545454546,0.030151134457776334,0.1146122324062932,"[[292  25]
 [ 28  95]]"
STATIC+LSTM,0.8609569692460317,0.028280472842469817,0.7366786688488816,0.044903491445786745,0.7366839826839827,0.06198171344121932,0.7396666666666667,0.04989321931218044,0.6354909532583165,0.062060319630714254,0.8522727272727273,0.024896479886598436,0.12935905746054552,"[[284  33]
 [ 32  91]]"
STATIC+tLSTM,0.7796934523809524,0.06652014235625736,0.6665869411250075,0.05414554670025045,0.7081744765955291,0.07624545608821869,0.6336666666666667,0.05473572873361606,0.5499339130514997,0.0738808391385097,0.8227272727272726,0.030151134457776386,0.1671556605794063,"[[284  33]
 [ 45  78]]"
STATIC+GRU,0.8005925099206349,0.04333844582637529,0.6451810205298577,0.07837933683375793,0.6568227019160805,0.08776664745703856,0.6653333333333333,0.15868347249932632,0.5226513400125794,0.09401582527518126,0.8022727272727271,0.034914298853948235,0.1694271412498804,"[[271  46]
 [ 41  82]]"
STATIC+GRU-D,0.8784512648809525,0.038733692089212526,0.7619656218402426,0.04681574013294974,0.8568521303258146,0.10705601205631222,0.6910000000000001,0.019877402021167428,0.689728008403125,0.07869075441482935,0.8772727272727273,0.033247133723472225,0.1159549945492074,"[[301  16]
 [ 38  85]]"
STATIC+BEHRT,0.8212810019841269,0.03246700868916989,0.7131778210175422,0.04692263800736717,0.8407352941176471,0.09865619586573854,0.6256666666666667,0.0551523143465238,0.6374418834197083,0.06960027615509272,0.8590909090909091,0.025511300364367762,0.13477924876876624,"[[301  16]
 [ 46  77]]"
STATIC+RETAIN,0.8028033234126983,0.06632724082797593,0.6308899028899029,0.0774096904638321,0.8328808446455505,0.1632402372038556,0.5466666666666666,0.13226236552146392,0.5643634170497674,0.06383466330405373,0.8272727272727274,0.02630872023361417,0.15009996288082017,"[[297  20]
 [ 56  67]]"
STATIC+Dipole,0.7934337797619048,0.05190681982212776,0.630529062304087,0.04767865191740889,0.7687443609022556,0.09671750846143197,0.544,0.07310266752998829,0.5365661177031467,0.0652390619525419,0.8227272727272729,0.02339915941133411,0.15667092321302833,"[[295  22]
 [ 56  67]]"
STATIC,0.8509729662698413,0.04196927803841525,0.6742394319676267,0.06433313661733986,0.7463973063973064,0.1532156574719644,0.6643333333333334,0.15016139465403364,0.5788804233626739,0.07304106975399693,0.825,0.034914298853948235,0.1410264001907944,"[[281  36]
 [ 41  82]]"
STATIC+BINARY,0.8893333333333334,0.05963928568986224,0.7581840981635783,0.08542752256418455,0.8018820043419586,0.07512665471549007,0.724,0.1076960744152007,0.6761746173838403,0.10827337444867192,0.8727272727272727,0.040272829878793985,0.12372721838069899,"[[295  22]
 [ 34  89]]"
STATIC+DOME,0.8997566964285714,0.046921443844154684,0.7775417175417176,0.08078455269156215,0.7890568487931571,0.04085081182514022,0.7809999999999999,0.13965672200076873,0.7017685845936225,0.09207022970044458,0.8795454545454546,0.031818181818181794,0.10417769504659176,"[[291  26]
 [ 27  96]]"
STATIC+LSTM,0.8309661458333334,0.022249289515461925,0.7160546077333508,0.08750321301347387,0.7122700668896321,0.1072624267828628,0.7243333333333334,0.07528907254339401,0.6033085481499995,0.12868083921977727,0.8363636363636363,0.059958663446695086,0.15263070175831112,"[[279  38]
 [ 34  89]]"
STATIC+tLSTM,0.8109548611111113,0.050885344398160184,0.6889365931226397,0.055535359510270346,0.7448898107337308,0.06989174065220838,0.6596666666666667,0.11633476598926815,0.5896789686666958,0.06075594196418171,0.8363636363636363,0.025511300364367794,0.1481685907560539,"[[287  30]
 [ 42  81]]"
STATIC+GRU,0.7855782490079365,0.05804352892469569,0.6704604984112509,0.07194927844213303,0.7068034188034188,0.13218507978364327,0.6516666666666666,0.07878240074195926,0.5527750569725518,0.11442854054987488,0.8181818181818181,0.05030896277540604,0.15962481782832985,"[[280  37]
 [ 43  80]]"
STATIC+GRU-D,0.840172867063492,0.0597960628487376,0.7498435927216415,0.06515312305730207,0.8729523809523808,0.07939818991865165,0.6673333333333333,0.09827738521371253,0.6862971535343166,0.07545990145761179,0.8772727272727273,0.028203803740888284,0.11945198991061771,"[[304  13]
 [ 41  82]]"
STATIC+BEHRT,0.7930553075396826,0.09788634934000458,0.6198529411764706,0.19674580055137667,0.9021537842190016,0.1103100793216756,0.5393333333333334,0.25351879176459047,0.5951991485097488,0.1443966097444943,0.8431818181818181,0.05202510519208908,0.1502701818839913,"[[305  12]
 [ 57  66]]"
STATIC+RETAIN,0.7948165922619048,0.06428614163133545,0.6027719923695156,0.08458387364504281,0.8786967418546366,0.15417588153948428,0.4806666666666666,0.11493766426488171,0.5533737203117907,0.09076198298963786,0.8272727272727274,0.03324713372347228,0.1565556797848328,"[[305  12]
 [ 64  59]]"
STATIC+Dipole,0.7867690972222222,0.050218781877149794,0.65924004148796,0.07267197370823845,0.7074308300395257,0.060059493384072175,0.6180000000000001,0.08185624255024442,0.5428738980887066,0.09270773871816021,0.8227272727272729,0.034166582678120255,0.16343378699390335,"[[286  31]
 [ 47  76]]"
STATIC,0.848806175595238,0.043447756501310456,0.6756490072177403,0.04195207318167619,0.751825771324864,0.13556032071141458,0.644,0.11420060322860726,0.578359806114449,0.06161799661097637,0.8295454545454547,0.02383656473113984,0.14549157888394545,"[[286  31]
 [ 44  79]]"
STATIC+BINARY,0.895477554563492,0.034983010137931744,0.7861490691322028,0.04296879392277711,0.815338902812587,0.05546790858695475,0.7649999999999999,0.07783172732104675,0.7102949916385206,0.060850928247777235,0.8840909090909091,0.024266086936434776,0.10647888138585702,"[[295  22]
 [ 29  94]]"
STATIC+DOME,0.9071511656746031,0.04236958110199563,0.7834670773969965,0.047249328721502976,0.778551724137931,0.06931580009411474,0.7983333333333332,0.09007404361597927,0.702714268943688,0.06856433622369126,0.8772727272727273,0.027272727272727247,0.1090796110536585,"[[288  29]
 [ 25  98]]"
STATIC+LSTM,0.853218998015873,0.06492030555403783,0.7050964306394657,0.07510027493515438,0.8059921962095874,0.06023745727584084,0.6419999999999999,0.12496399481450647,0.6245537988887631,0.07436897858559756,0.8545454545454547,0.025308019831045574,0.13810400820573526,"[[297  20]
 [ 44  79]]"
STATIC+tLSTM,0.7836752232142858,0.02003313439410449,0.6063256179664849,0.025706365031265978,0.8002767602767603,0.14722055582896312,0.513,0.09237844866513929,0.5274553817806116,0.04355031992274709,0.8159090909090908,0.019550739243278725,0.17770887492268156,"[[296  21]
 [ 60  63]]"
STATIC+GRU,0.7876443452380953,0.03071165357310343,0.6592342597416325,0.04192007984501833,0.6377391127391128,0.04587119388620439,0.6836666666666668,0.04906231864793094,0.5215075919133696,0.061379749273436215,0.8022727272727274,0.026504326794751388,0.17169669515249864,"[[269  48]
 [ 39  84]]"
STATIC+GRU-D,0.8769944196428572,0.022451270493080155,0.7573273370607461,0.04540318677226866,0.9402777777777779,0.05299662230094143,0.6343333333333334,0.041894046248973256,0.7095881205354914,0.05915475463264219,0.8863636363636364,0.021560984046602567,0.11409640953420352,"[[312   5]
 [ 45  78]]"
STATIC+BEHRT,0.8366187996031746,0.06441588570718966,0.7308178586750016,0.09818317208125524,0.8479554865424431,0.04560934339150903,0.6586666666666667,0.1419522611459375,0.6646150272947257,0.09315628364649411,0.8704545454545454,0.03261977294183484,0.1276680482636814,"[[302  15]
 [ 42  81]]"
STATIC+RETAIN,0.7986767113095238,0.06583331680267715,0.584778713350142,0.13505600588400427,0.7999259259259259,0.16608794999354703,0.5223333333333333,0.19377420995696112,0.51828591431163,0.0892721765484921,0.8113636363636363,0.030151134457776386,0.15719953741493928,"[[293  24]
 [ 59  64]]"
STATIC+Dipole,0.806749255952381,0.08704435735476317,0.6970092226613966,0.06144029159386391,0.7823809523809524,0.03846841034022992,0.6356666666666667,0.09367556304133492,0.6062417012447291,0.066070020782999,0.8477272727272727,0.02447802185061136,0.1401142922036412,"[[295  22]
 [ 45  78]]"
