,AUC mean,AUC std,F1 mean,F1 std,Prec mean,Prec std,Recall mean,Recall std,MCC mean,MCC std,Acc mean,Acc std,CM,Brier
STATIC,0.8517092368058913,0.028768290560855645,0.6414865358792824,0.04835888934166121,0.7029813555990221,0.12534945422110902,0.6260869565217392,0.12556112241907524,0.5652398665578927,0.042789355908729294,0.8528498091351849,0.013545379612144975,"[[766  71]
 [ 86 144]]",0.12447826234520337
STATIC+BINARY,0.8483258638003497,0.04996522377622979,0.6834992753440334,0.060926214312183494,0.7401963889768768,0.09558945735365167,0.6434782608695653,0.06679257172059658,0.6088953328088426,0.0787578357524679,0.8707033478127331,0.031119452502562196,"[[781  56]
 [ 82 148]]",0.11662645790251712
STATIC+DOME,0.8581448903435366,0.036315606343066326,0.7140603843504287,0.04801131249958943,0.7488316722037652,0.05829985910293815,0.682608695652174,0.04032008041519868,0.6410467517464962,0.06186226135503109,0.8819314641744548,0.02074595893638516,"[[784  53]
 [ 73 157]]",0.11068219450984618
STATIC+LSTM,0.8045773360112074,0.039116860595357156,0.6383810651794597,0.06136088672478093,0.7682124819624819,0.0593101360765645,0.5478260869565217,0.06650895017729719,0.5725279195281885,0.07099852323067013,0.8669474792681321,0.02089649296321045,"[[799  38]
 [104 126]]",0.12526526494885698
STATIC+tLSTM,0.7872898612712463,0.0640880200716543,0.5924042126730299,0.08911423887564048,0.6524890239783857,0.10511812608076282,0.5478260869565217,0.09663526422127333,0.4975028463800567,0.11284660827243867,0.8378877627133517,0.03717652781490544,"[[768  69]
 [104 126]]",0.13523927718101456
STATIC+GRU,0.7557665724451719,0.05302144141290448,0.5576010466882677,0.08723058364494589,0.5896104420101274,0.11721127593679918,0.5391304347826087,0.0995262881935617,0.4462846725850772,0.11528434951969796,0.8153920407178272,0.041075863148131206,"[[746  91]
 [106 124]]",0.16111219356386158
STATIC+GRU-D,0.822264012347975,0.0518763521066645,0.6737579270192822,0.06936153721235427,0.8340584147035759,0.04765033183304953,0.5695652173913043,0.0863018836577357,0.6241329389078848,0.07114689236835381,0.8828528805230136,0.01940292156397201,"[[811  26]
 [ 99 131]]",0.11096596178837612
STATIC+BEHRT,0.7805480653599634,0.06906711324599726,0.6075589072140104,0.0953967243223942,0.7444406906906906,0.08130835507444004,0.5173913043478261,0.10047147833296821,0.5398635148214226,0.10248951050975841,0.8584836119520863,0.0269318951515415,"[[797  40]
 [111 119]]",0.12470733663955187
STATIC+RETAIN,0.7734300033473425,0.05373956101767624,0.549146477304372,0.13522180768591038,0.7754901960784313,0.14875621717821877,0.46521739130434786,0.14782608695652175,0.5017792654802747,0.09565891394802103,0.8453512351366766,0.030277405372318756,"[[795  42]
 [123 107]]",0.13529337256597676
STATIC+Dipole,0.7883680620126208,0.05493074601104374,0.562848979457916,0.0913150540825818,0.7020487804878048,0.024274544005628767,0.4826086956521739,0.12480608777745499,0.4911957891500364,0.07910218480837726,0.8444254310912201,0.016344448338993525,"[[790  47]
 [119 111]]",0.13332950989957137
STATIC,0.8014007698887939,0.018900042721125592,0.576722172084491,0.03459592405898566,0.7533973273103708,0.213066170748018,0.5217391304347825,0.13610848558694374,0.5188194115630946,0.06495962843860577,0.8369356324865077,0.034018353098571326,"[[773  64]
 [110 120]]",0.13804926205527368
STATIC+BINARY,0.8316898036225686,0.027962146367124355,0.6750575028835899,0.035331118238743006,0.7390116983297208,0.06945207364427142,0.6304347826086957,0.06874516652539955,0.6010718956925163,0.042385053126037006,0.869711728313808,0.015384809575663464,"[[783  54]
 [ 85 145]]",0.11501685942038956
STATIC+DOME,0.8297078978688587,0.030710532885118765,0.6664919418535666,0.046103778909823624,0.7168292682926829,0.08416719430552225,0.6304347826086956,0.06448868249648403,0.5866415519400527,0.06127928743315452,0.8640867008907025,0.02066374382854244,"[[777  60]
 [ 85 145]]",0.11910231444456595
STATIC+LSTM,0.7948711273105962,0.04745713117209569,0.5925451559934318,0.09873962742999243,0.8266462177806362,0.0837217312998573,0.4826086956521739,0.13072431633367745,0.5551354739043539,0.07520973153896013,0.8631565091483481,0.019389245003261703,"[[810  27]
 [119 111]]",0.12936962706253413
STATIC+tLSTM,0.7714939685845701,0.024812688776366082,0.5531295093795093,0.05626856008034657,0.7303852288062814,0.12237045098226643,0.48695652173913045,0.14973195963237013,0.49440159185973664,0.024098257718264907,0.8369531832740995,0.021605796536399685,"[[781  56]
 [118 112]]",0.1448630168086593
STATIC+GRU,0.7657194152068534,0.039407811809547194,0.5751091806693683,0.04224363067095688,0.6048056705199562,0.07184668924646559,0.5652173913043478,0.0891039197039965,0.4699943680027755,0.043978802177858725,0.8219297090956956,0.018252183079072743,"[[747  90]
 [100 130]]",0.15310870756901696
STATIC+GRU-D,0.8095231896455537,0.03234593316432909,0.667210200216057,0.032108589742034115,0.8795017482517483,0.07726892018277175,0.5434782608695652,0.053249777017025636,0.6298418425806768,0.03095098037082772,0.8837699091746742,0.009287957383472658,"[[818  19]
 [105 125]]",0.11805926046285771
STATIC+BEHRT,0.7695973735758297,0.07365140389921399,0.5843259744850413,0.07100794386072641,0.8613388543823326,0.10082882716692908,0.4608695652173913,0.10596571832133861,0.556852382826148,0.03452688834893379,0.8631608968452458,0.009188507796929509,"[[815  22]
 [124 106]]",0.1301211950805871
STATIC+RETAIN,0.7411092411450392,0.04211508602291801,0.4977171176706518,0.1189901162499016,0.7520889129845487,0.163751086032115,0.41739130434782606,0.14511581972416204,0.4517619757248389,0.0641652738362195,0.8303804133210478,0.022307931312654537,"[[790  47]
 [134  96]]",0.1437927361041058
STATIC+Dipole,0.7768250765549646,0.020328547054399557,0.6093467665756822,0.03184521064034483,0.6995790034265534,0.08367552132542079,0.5434782608695652,0.023814024239355074,0.5255388422762118,0.051430771595794476,0.8491158790750735,0.01760846015489566,"[[781  56]
 [105 125]]",0.1314644459006321
STATIC,0.8277877474863937,0.05607266256481268,0.5917079899811573,0.11134603329658282,0.7758768677676665,0.139688536465881,0.5304347826086957,0.17205529510790762,0.5434568802739171,0.06100751972478379,0.853793163968233,0.015233667854163397,"[[789  48]
 [108 122]]",0.12551343485456695
STATIC+BINARY,0.8361977907538961,0.03872819781426025,0.6548464386638188,0.03248269802181921,0.7907466068491619,0.09044463422133985,0.5652173913043479,0.04957284456952774,0.5938135996671325,0.04745806967944833,0.8716028256768024,0.014110110108298081,"[[800  37]
 [100 130]]",0.12193154264669254
STATIC+DOME,0.8483912609563482,0.03992058554868581,0.6859577310748846,0.021835563152354184,0.7290129787069811,0.04113360304084191,0.6521739130434783,0.051444172026953144,0.6090260447445788,0.025233348209652142,0.8716028256768024,0.008688987086567259,"[[780  57]
 [ 80 150]]",0.11259696476768331
STATIC+LSTM,0.7957434509862262,0.05267855038104045,0.613404852761178,0.04853408411706671,0.7705704099821747,0.05571653052031651,0.5173913043478262,0.0782608695652174,0.5523569716641832,0.042299150405448016,0.8612961256636392,0.010894586898322843,"[[800  37]
 [111 119]]",0.12669924588234174
STATIC+tLSTM,0.7801080292830489,0.015552243645390556,0.5657758726386177,0.04865953863161359,0.658703810094244,0.0693404690744905,0.5,0.058332208108690185,0.4749425016599364,0.05967975532347944,0.8350313720328201,0.018529699595712823,"[[776  61]
 [115 115]]",0.14417934938734178
STATIC+GRU,0.7510684376588438,0.04477362221021888,0.5707727602825642,0.04689062959574371,0.6245658263305323,0.0831429739740908,0.5347826086956522,0.06819298757112227,0.4693967010995335,0.06217535574033504,0.8266420955640384,0.02427954984207192,"[[759  78]
 [107 123]]",0.16004580485448333
